reference;position
P104;[229.87, 44.45]
P101;[77.47, 135.89]
P102;[158.75, 135.89]
P103;[229.87, 135.89]
P105;[158.75, 44.45]
P106;[77.47, 44.45]
JP1;[148.082, 97.79]
U3;[96.52, 71.12]
L1;[125.73, 62.23]
D12;[156.21, 97.155]
D9;[156.21, 87.63]
D8;[156.21, 77.47]
C2;[84.582, 90.17]
C1;[110.49, 78.867]
R12;[135.255, 121.92]
R8;[139.065, 91.059]
R13;[140.335, 111.76]
R14;[139.065, 87.63]
R15;[118.11, 78.74]
R16;[118.11, 75.184]
R17;[156.21, 68.58]
R19;[149.225, 83.82]
R20;[144.78, 102.235]
R21;[158.115, 102.235]
R6;[87.757, 121.92]
R7;[139.7, 54.61]
R5;[87.757, 125.476]
R4;[87.63, 107.823]
R3;[87.63, 111.125]
R2;[87.63, 114.554]
R1;[87.63, 118.11]
R9;[139.065, 77.47]
R10;[114.3, 48.26]
R18;[152.4, 68.58]
R11;[140.081, 70.993]
P3;[182.88, 74.93]
RV1;[122.555, 88.265]
P1;[78.7, 62.3]
D10;[137.16, 57.15]
D1;[87.757, 71.12]
C9;[143.002, 49.784]
C7;[198.755, 71.12]
C6;[196.85, 112.395]
C5;[129.54, 49.53]
C4;[114.3, 52.07]
Q2;[148.082, 60.706]
Q1;[146.05, 69.85]
Q3;[142.24, 97.79]
J1;[82.6, 120.2]
D6;[107.95, 125.095]
D7;[107.95, 115.316]
D11;[139.065, 80.645]
D5;[107.95, 108.585]
D4;[107.95, 111.887]
D3;[107.95, 121.92]
D2;[107.95, 118.237]
U2;[115.57, 119.38]
U5;[207.899, 107.95]
P2;[207.645, 50.8]
U4;[110.49, 57.15]
U1;[179.07, 109.22]
U6;[179.07, 120.65]
C3;[134.112, 62.23]
