text;position
VCC ON;[162.9, 99.1]
1=>>;[200.66, 107.95]
1=>>;[171.45, 120.65]
1=>>;[171.45, 109.22]
1=>>;[202.0, 48.7]
1=>>;[167.64, 48.895]
JP-CHARRAS;[94.615, 137.16]
J-P CHARRAS;[94.615, 137.16]
13V ADJUST;[123.19, 95.25]
PIC 40 PINS;[182.245, 45.085]
PIC 28 PINS;[212.725, 45.085]
PIC 18 PINS;[211.455, 132.715]
I2C PROM;[166.37, 114.3]
PIC 8 PINS;[183.515, 132.08]
PWR ON;[163.83, 88.9]
VPP ON;[163.195, 80.645]
+8/12V;[80.01, 57.15]
PIC PROGRAMMER V03;[125.095, 132.08]
PIC PROGRAMMER V03;[124.46, 134.62]
