start;end;width
[106.725999, 113.217001];[109.174001, 113.217001];0.5
[106.665998, 113.157];[106.725999, 113.217001];0.5
[100.954001, 113.187001];[100.984002, 113.157];0.5
[109.234002, 113.157];[111.887, 113.157];0.5
[109.174001, 113.217001];[109.234002, 113.157];0.5
[99.705999, 113.187001];[100.954001, 113.187001];0.5
[123.19, 113.03];[123.19, 111.76];0.5
[100.984002, 113.157];[106.665998, 113.157];0.5
[84.963, 113.157];[99.675998, 113.157];0.5
[99.675998, 113.157];[99.705999, 113.187001];0.5
[111.887, 113.157];[113.03, 114.3];0.5
[113.03, 114.3];[121.92, 114.3];0.5
[121.92, 114.3];[123.19, 113.03];0.5
[84.963, 113.157];[83.543, 113.157];0.5
[83.425, 113.275];[79.76, 113.275];0.5
[83.543, 113.157];[83.425, 113.275];0.5
[87.63, 111.125];[87.63, 107.823];0.5
[84.51237, 111.89];[82.6, 111.89];0.5
[85.27737, 111.125];[84.51237, 111.89];0.5
[87.63, 111.125];[85.27737, 111.125];0.5
[77.47, 117.475];[77.47, 120.65];0.5
[86.36, 124.46];[87.757, 125.476];0.5
[80.01, 123.19];[85.09, 123.19];0.5
[85.09, 123.19];[86.36, 124.46];0.5
[87.757, 125.476];[87.63, 121.92];0.5
[77.47, 120.65];[80.01, 123.19];0.5
[77.47, 117.20363];[77.47, 117.475];0.5
[78.62863, 116.045];[77.47, 117.20363];0.5
[79.76, 116.045];[78.62863, 116.045];0.5
[87.63, 118.11];[87.503, 114.554];0.5
[87.524, 114.66];[87.63, 114.554];0.5
[82.6, 114.66];[87.524, 114.66];0.5
[84.455, 90.17];[84.455, 89.535];0.5
[84.455, 89.535];[82.55, 87.63];0.5
[82.55, 87.63];[82.55, 76.2];0.5
[87.63, 71.12];[96.52, 71.12];0.5
[82.55, 76.2];[87.63, 71.12];0.5
[114.3, 48.26];[114.3, 52.07];0.5
[110.49, 57.15];[110.49, 53.34];0.5
[110.49, 53.34];[111.76, 52.07];0.5
[111.76, 52.07];[114.3, 52.07];0.5
[128.27, 48.26];[129.54, 49.53];0.5
[124.46, 48.26];[128.27, 48.26];0.5
[146.812, 61.976];[146.812, 57.658];0.5
[146.812, 57.658];[149.86, 54.61];0.5
[148.002, 49.784];[149.86, 51.642];0.5
[149.86, 51.642];[149.86, 54.61];0.5
[140.081, 60.833];[141.21237, 60.833];0.5
[141.21237, 60.833];[142.855369, 62.475999];0.5
[142.855369, 62.475999];[146.312001, 62.475999];0.5
[146.312001, 62.475999];[146.812, 61.976];0.5
[140.081, 70.993];[141.224, 69.85];0.5
[141.224, 69.85];[146.05, 69.85];0.5
[139.065, 80.645];[141.605, 78.105];0.5
[141.605, 78.105];[141.605, 72.517];0.5
[141.605, 72.517];[140.081, 70.993];0.5
[146.685, 80.645];[148.59, 80.645];0.5
[149.225, 81.28];[149.225, 83.82];0.5
[148.59, 80.645];[149.225, 81.28];0.5
[147.32, 71.12];[147.32, 68.58];0.5
[144.78, 75.565];[147.32, 73.025];0.5
[144.78, 89.916];[144.78, 75.565];0.5
[145.923, 91.059];[144.78, 89.916];0.5
[149.225, 91.059];[145.923, 91.059];0.5
[147.32, 73.025];[147.32, 71.12];0.5
[152.4, 68.58];[156.21, 68.58];0.5
[148.082, 60.706];[148.082, 61.413106];0.5
[148.082, 61.413106];[149.225, 62.556106];0.5
[149.225, 62.556106];[149.225, 65.405];0.5
[152.4, 68.58];[152.4, 69.85];0.5
[146.05, 73.66];[147.955, 71.755];0.5
[137.795, 74.93];[137.795, 76.2];0.5
[137.795, 74.93];[139.065, 73.66];0.5
[147.955, 71.755];[150.495, 71.755];0.5
[149.225, 65.405];[152.4, 68.58];0.5
[139.065, 73.66];[146.05, 73.66];0.5
[137.795, 76.2];[139.065, 77.47];0.5
[150.495, 71.755];[152.4, 69.85];0.5
[142.875, 92.71];[143.51, 93.345];0.5
[143.51, 93.345];[143.51, 96.52];0.5
[140.97, 92.71];[142.875, 92.71];0.5
[140.97, 85.09];[140.97, 92.71];0.5
